mes;dia;hora;perfil_usuari;pf
1;2;15;a;0.000155701304137025
1;2;16;a;0.000147267025710906
1;2;17;a;0.000147039204473053
1;2;18;a;0.000155949112627826
1;2;19;a;0.000172172219308116
1;2;20;a;0.000179951874393788
1;2;21;a;0.000179365740691386
1;2;22;a;0.000173983643007066
1;2;23;a;0.000157114282328418
1;2;24;a;0.000132037375908329
1;3;1;a;0.000108684812441732
1;3;2;a;8.8093611531243e-05
1;3;3;a;7.54523136912208e-05
1;3;4;a;6.90655035180895e-05
1;3;5;a;6.65454808942806e-05
1;3;6;a;6.71184040644407e-05
1;3;7;a;7.17464298809286e-05
1;3;8;a;8.18503172596448e-05
1;3;9;a;0.000100757011177941
1;3;10;a;0.000130196593448841
1;3;11;a;0.00015397359300167
1;3;12;a;0.000160923890476522
1;3;13;a;0.000164482336476492
1;3;14;a;0.000168869064294085
1;3;15;a;0.000163642904233707
1;3;16;a;0.000148818497114817
1;3;17;a;0.000141042542298597
1;3;18;a;0.000143232154326352
1;3;19;a;0.000158539840474712
1;3;20;a;0.000166948516794978
1;3;21;a;0.000171621561375541
1;3;22;a;0.000171625273430637
1;3;23;a;0.000156589485007371
1;3;24;a;0.000133506057083039
1;17;1;a;0.000112600474821975
1;17;2;a;9.1819643375516e-05
1;17;3;a;7.89362371795801e-05
1;17;4;a;7.22473202859618e-05
1;17;5;a;6.96312382621807e-05
1;17;6;a;7.00772219953229e-05
1;17;7;a;7.45575995144299e-05
1;17;8;a;8.505886207197e-05
1;17;9;a;0.000104729145188309
1;17;10;a;0.000135677457308462
1;17;11;a;0.000160005699241553
1;17;12;a;0.000166977550516807
1;17;13;a;0.000170694616010012
1;17;14;a;0.000175318246008415
1;17;15;a;0.000169352120496583
1;17;16;a;0.000153649777302786
1;17;17;a;0.000145459690532835
1;17;18;a;0.000147545090135616
1;17;19;a;0.000162463849598261
1;17;20;a;0.000171822709864247
1;17;21;a;0.000176516306470595
1;17;22;a;0.000176157941653159
1;17;23;a;0.000160664069724828
1;17;24;a;0.000136958962017354
1;25;1;a;0.00011681957311052
1;25;2;a;9.6019348952786e-05
1;25;3;a;8.27202339162832e-05
1;25;4;a;7.55992982894334e-05
1;25;5;a;7.19914062052581e-05
1;25;6;a;7.20004437907706e-05
1;25;7;a;7.55623762943953e-05
1;25;8;a;8.24216461127755e-05
1;25;9;a;9.56811486838395e-05
1;25;10;a;0.000121894419451588
1;25;11;a;0.000147399182650632
1;25;12;a;0.000159477224795508
1;25;13;a;0.000162980330360352
1;25;14;a;0.000165177846647405
1;25;15;a;0.000165692599195088
1;25;16;a;0.000151013397870541
1;25;17;a;0.000142816101851555
1;25;18;a;0.000144064681561099
1;25;19;a;0.000160205537343698
1;25;20;a;0.000173547604771072
1;25;21;a;0.000184757900341183
1;25;22;a;0.000185858530821115
1;25;23;a;0.000164442529454791
1;25;24;a;0.000134792235369704
1;26;1;a;0.000103084413472459
1;26;2;a;8.44946801015573e-05
1;26;3;a;7.44022419500087e-05
1;26;4;a;7.02265344954982e-05
1;26;5;a;6.84577151811427e-05
1;26;6;a;6.97227315347305e-05
1;26;7;a;8.08564567103357e-05
1;26;8;a;0.000110588875654596
1;26;9;a;0.000133598520899527
1;26;10;a;0.000150832005873278
1;26;11;a;0.000166886036305166
1;26;12;a;0.000170879030910352
1;26;13;a;0.000172224601684876
1;26;14;a;0.000174048155033296
1;26;15;a;0.0001637781380355
1;26;16;a;0.00015306350703975
1;26;17;a;0.000153616793788097
1;26;18;a;0.000164197480562829
1;26;19;a;0.000182950854943009
1;26;20;a;0.000197828545539821
1;26;21;a;0.000200252785440898
1;26;22;a;0.00019422778229354
1;26;23;a;0.000168296646995269
1;26;24;a;0.000135161563836324
1;27;1;a;0.0001042917031902
1;27;2;a;8.42083014817729e-05
1;27;3;a;7.52010385099543e-05
1;27;4;a;7.06794623049198e-05
1;27;5;a;6.91923029839949e-05
1;27;6;a;7.08578443493672e-05
1;27;7;a;8.28499224120789e-05
1;27;8;a;0.000114094691379439
1;27;9;a;0.000138974151411736
1;27;10;a;0.000155813895340636
1;27;11;a;0.00017000290912783
1;27;12;a;0.00017160633860417
1;27;13;a;0.000173069062714637
1;27;14;a;0.000175164270570986
1;27;15;a;0.000164616930614524
1;27;16;a;0.000155281645581479
1;27;17;a;0.000156999418652549
1;27;18;a;0.000169073052905219
1;27;19;a;0.00018688701600193
1;27;20;a;0.000199111960628739
1;27;21;a;0.000200469284671657
1;27;22;a;0.000192639156576728
1;27;23;a;0.000168561808088692
1;27;24;a;0.000135650444170819
1;11;1;a;0.000114643684596609
1;11;2;a;9.40414895383586e-05
1;11;3;a;8.09224770929002e-05
1;11;4;a;7.37864922991476e-05
1;11;5;a;7.03457552418652e-05
1;11;6;a;7.0380035655315e-05
1;11;7;a;7.38928811201458e-05
1;11;8;a;8.05849852858718e-05
1;11;9;a;9.3545508316875e-05
1;11;10;a;0.000118889527427276
1;11;11;a;0.000143740237574734
1;11;12;a;0.000156023785932455
1;11;13;a;0.00015976251529962
